,ID,Albums
0,758025,Speak Now (Taylor’s Version)
1,1040211,Midnights (The Til Dawn Edition)
2,945000,Midnights
3,949856,Midnights (Target Exclusive)
4,962334,Midnights (3am Edition)
5,921019,Carolina (From The Motion Picture “Where The Crawdads Sing”)
6,758022,Red (Taylor’s Version)
7,734107,Fearless (Taylor’s Version)
8,12682,Taylor Swift
9,350177,Fearless (Platinum Edition)
10,597883,Speak Now (Deluxe)
11,22453,Red
12,110728,1989
13,350247,Reputation
14,520929,Lover
15,659925,Folklore
16,710140,Evermore
17,710147,evermore (deluxe version)
